aaHappiness in life,aboveAvg Happiness,Achievements,Action,Active sport,Adrenaline sports,Age,Ageing,Alternative,Animated,Appearence and gestures,Art exhibitions,Assertiveness,Biology,Borrowed stuff,Branded clothing,Cars,Celebrities,Changing the past,Charity,Cheating in school,Chemistry,Children,Classical music,Comedy,Compassion to animals,Country,"Countryside, outdoors",Criminal damage,Daily events,Dance,Dancing,Dangerous dogs,Darkness,Decision making,Documentary,Dreams,Eating to survive,Economy Management,Elections,Empathy,Energy levels,Entertainment spending,Fake,Fantasy/Fairy tales,Fear of public speaking,Final judgement,Finances,Finding lost valuables,Flying,Folk,Foreign languages,Friends versus money,Fun with friends,Funniness,Gardening,Geography,Getting angry,Getting up,Giving,God,Health,Healthy eating,Height,Heights,"Hiphop, Rap",History,Horror,Hypochondria,Interests or hobbies,Internet,Judgment calls,Keeping promises,Knowing the right people,Latino,Law,Life struggles,Loneliness,Loss of interest,Mathematics,Medicine,Metal or Hardrock,Mood swings,Movies,Music,Musical,Musical instruments,New environment,Number of friends,Number of siblings,Only child,Opera,Parents' advice,Passive sport,PC,Personality,Pets,Physics,Politics,Pop,Prioritising workload,Psychology,Public speaking,Punk,Questionnaires or polls,Rats,Reading,"Reggae, Ska",Reliability,Religion,Responding to a serious letter,Rock,Rock n roll,Romantic,Science and technology,Sci-fi,Self-criticism,Shopping,Shopping centres,Slow songs or fast songs,Small - big dogs,Snakes,Socializing,Spending on gadgets,Spending on healthy eating,Spending on looks,Spiders,Storm,"Swing, Jazz","Techno, Trance",Theatre,Thinking ahead,Thriller,Unpopularity,Waiting,War,Weight,Western,Workaholism,Writing,Writing notes,Alcohol,Village - town,Smoking,Education,Gender,House - block of flats,Internet usage,Left - right handed,Lying,Punctuality,Validation
4,1,2,4,5,3,22,1,4,4,3,3,5,1,3,2,5,1,2,2,5,2,4,1,4,1,1,5,4,3,3,2,1,1,2,3,4,1,4,4,4,5,2,1,3,1,1,4,4,2,0,3,5,4,4,1,1,2,2,2,2,2,4,178,3,2,1,3,1,5,5,4,4,2,1,2,2,2,1,5,1,5,2,5,5,1,2,4,3,2,1,1,4,1,5,3,4,4,1,3,3,1,2,3,3,1,1,4,3,1,2,5,5,3,4,4,3,3,2,3,4,1,4,3,4,2,1,1,3,2,3,2,2,4,4,3,80,2,5,1,2,social drinker,village,former smoker,college/bachelor degree,male,block of flats,less than an hour a day,right handed,only to avoid hurting someone,i am always on time,0
3,0,2,4,4,1,26,5,5,4,4,3,3,1,4,3,1,3,3,1,2,1,5,4,5,4,2,5,1,2,1,1,1,2,4,5,3,1,1,4,4,3,3,2,4,3,3,3,4,3,4,2,4,5,4,4,0,4,3,4,3,5,3,169,0,1,3,3,2,3,0,3,4,2,2,1,1,3,2,1,2,5,3,5,5,3,3,1,3,2,0,3,3,4,1,3,5,1,1,1,4,3,3,3,3,3,4,3,4,1,3,5,3,5,4,4,4,2,1,3,1,2,1,3,3,3,1,1,3,1,3,3,4,3,3,3,70,3,3,4,5,never,city,tried smoking,masters degree,male,house/bungalow,few hours a day,right handed,sometimes,i am often early,0
3,0,3,3,1,1,20,5,3,5,4,2,2,3,4,1,1,2,2,1,3,3,2,5,3,4,3,3,1,2,1,1,3,2,3,4,3,3,1,1,3,2,3,3,5,3,1,4,3,2,3,5,3,3,3,3,3,2,3,3,2,3,2,160,4,1,4,3,1,3,3,2,3,3,2,1,4,3,1,3,3,4,3,3,4,2,1,3,3,1,0,4,3,1,3,3,3,3,1,2,2,4,4,3,3,1,4,2,3,3,5,4,4,2,3,2,4,3,2,3,3,1,3,1,3,2,2,2,2,1,3,3,3,4,2,2,50,3,2,4,2,social drinker,city,tried smoking,masters degree,female,block of flats,few hours a day,right handed,sometimes,i am often running late,1
3,0,1,4,3,4,22,3,1,5,5,4,5,4,5,5,1,1,1,3,2,2,5,5,4,2,2,5,4,2,1,3,5,4,3,5,3,3,2,4,5,5,2,3,4,2,2,5,3,2,2,4,3,3,2,2,2,2,4,2,3,5,3,182,2,1,5,4,3,5,5,5,4,4,1,3,4,2,2,2,3,2,1,4,4,2,4,5,1,1,0,5,3,2,3,4,4,2,3,1,2,5,5,1,4,1,2,1,5,4,2,1,1,2,4,4,4,4,3,3,3,1,1,3,5,3,5,2,4,4,2,5,4,4,5,5,75,2,3,2,2,never,city,tried smoking,secondary school,male,block of flats,few hours a day,right handed,sometimes,i am always on time,1
4,1,3,3,1,5,21,1,4,1,2,1,5,1,5,5,5,1,1,1,4,1,3,3,5,1,1,1,5,0,2,1,1,1,1,4,3,1,5,5,5,3,4,1,1,1,1,4,1,1,1,4,3,5,3,1,4,3,5,1,1,1,1,175,1,2,4,5,1,2,5,5,4,5,1,1,1,3,3,4,1,4,3,4,4,3,1,5,3,0,1,1,2,1,3,3,1,3,5,2,1,5,1,5,1,1,5,2,5,1,1,5,4,1,4,5,5,5,5,4,3,1,3,3,3,4,1,1,1,1,4,4,5,5,1,1,60,1,3,1,3,social drinker,city,current smoker,secondary school,male,block of flats,few hours a day,right handed,everytime it suits me,i am often running late,0
4,1,1,3,3,2,23,2,3,3,3,3,3,2,4,2,5,2,2,2,3,0,3,4,4,5,3,3,2,3,4,2,2,1,3,3,4,2,3,1,5,5,2,1,3,2,1,3,5,1,3,3,5,4,4,2,3,2,5,1,5,2,2,180,1,4,4,2,1,5,3,5,4,3,5,3,2,2,2,2,3,3,1,4,5,3,2,4,4,0,1,3,4,3,3,3,2,3,2,3,2,4,3,3,1,3,3,4,3,4,4,4,3,2,3,2,2,2,2,3,5,2,2,2,3,2,1,1,5,3,3,3,3,3,3,3,80,3,2,2,4,social drinker,city,never smoked,secondary school,male,house/bungalow,few hours a day,right handed,sometimes,i am always on time,0
4,1,3,4,4,3,19,1,3,5,4,3,5,5,5,2,2,2,2,1,3,4,5,4,5,5,2,4,2,2,4,1,2,2,4,4,4,1,2,5,4,4,2,2,5,3,3,2,2,2,3,4,3,5,2,2,2,2,4,3,5,3,3,158,1,2,3,1,2,3,4,4,4,3,4,2,2,2,4,2,5,4,3,5,5,4,1,4,3,0,1,5,4,3,2,3,5,2,3,4,2,2,5,3,3,2,4,4,3,2,1,5,2,4,5,3,3,5,5,3,3,4,2,2,3,4,5,3,3,1,5,3,4,5,3,1,47,2,5,1,5,social drinker,city,tried smoking,secondary school,female,house/bungalow,few hours a day,right handed,sometimes,i am often early,0
5,1,3,5,5,5,20,1,4,3,5,4,3,4,4,3,1,1,2,2,5,2,3,2,4,4,1,5,1,5,3,3,1,2,3,5,4,2,2,5,3,4,5,1,0,1,4,4,5,2,2,3,5,5,3,3,5,1,2,3,1,3,5,180,2,5,5,0,1,4,4,3,4,3,3,1,2,2,3,2,3,1,2,5,5,5,1,5,5,1,0,3,2,3,1,4,5,2,5,4,4,5,3,1,2,2,5,4,4,1,3,3,3,2,5,2,3,3,1,3,3,1,4,3,4,4,3,2,4,4,4,5,4,4,4,5,70,3,3,3,5,drink a lot,city,tried smoking,college/bachelor degree,male,house/bungalow,few hours a day,right handed,sometimes,i am often early,1
2,0,2,1,2,1,21,4,5,3,3,5,1,1,3,4,1,1,4,1,2,1,1,3,5,5,2,1,1,2,2,2,5,1,2,3,2,2,1,1,2,1,2,5,3,3,1,2,2,3,2,2,1,3,5,1,3,2,5,1,1,3,4,174,3,1,3,3,2,2,3,3,2,2,1,1,4,5,3,1,1,1,3,5,5,4,1,3,2,0,1,2,3,2,1,2,2,1,1,2,1,3,3,2,4,2,5,1,4,3,4,5,5,2,2,3,4,3,5,4,3,5,2,1,3,2,2,5,4,1,5,2,3,4,2,1,85,2,3,5,3,drink a lot,city,former smoker,college/bachelor degree,female,house/bungalow,few hours a day,right handed,everytime it suits me,i am always on time,1
4,1,3,3,3,4,19,3,1,5,3,3,3,5,5,2,2,1,3,1,2,1,5,2,5,5,1,5,1,2,3,1,4,1,2,3,2,2,1,5,5,5,1,1,5,2,1,3,5,1,1,3,3,5,3,5,2,3,5,5,5,4,3,167,1,4,2,1,1,3,3,4,5,2,5,2,5,2,1,5,1,1,3,5,3,5,2,4,5,2,0,1,3,5,2,3,5,2,2,3,3,5,4,1,2,3,5,3,5,5,4,2,4,5,2,3,3,3,3,3,1,5,3,1,4,2,3,5,3,3,5,2,2,5,4,3,55,2,2,1,4,never,city,never smoked,secondary school,female,block of flats,less than an hour a day,right handed,never,i am always on time,0
4,1,2,2,4,2,29,4,2,1,4,2,2,1,4,3,1,3,2,2,4,1,4,3,5,1,2,4,4,4,2,3,4,3,2,5,3,3,4,2,4,3,3,1,4,3,1,3,4,2,4,2,4,4,2,4,3,5,2,4,5,4,4,169,2,1,3,1,1,4,2,3,4,3,3,2,4,2,2,1,1,1,4,4,4,3,2,2,3,2,0,4,3,3,1,3,4,1,3,4,4,3,3,1,3,5,5,1,4,3,3,2,2,5,1,2,4,4,4,2,3,5,3,2,4,0,5,3,3,2,4,4,2,3,2,2,65,2,2,1,4,social drinker,city,tried smoking,masters degree,female,block of flats,less than an hour a day,right handed,sometimes,i am always on time,0
1,0,1,3,1,3,22,1,5,2,2,2,5,1,5,1,1,2,5,1,2,1,1,2,4,4,2,2,5,4,1,1,4,1,4,2,1,4,1,4,5,1,2,5,2,3,1,2,2,2,2,2,2,2,4,1,2,5,4,1,2,1,1,183,1,1,5,2,1,1,5,2,4,4,1,1,5,5,1,1,1,2,5,4,5,1,1,1,1,1,0,1,3,2,2,1,2,1,1,4,3,3,4,2,3,1,3,1,4,1,2,3,1,1,2,2,5,1,1,3,5,1,1,1,1,1,1,1,2,5,1,4,4,5,1,2,80,1,3,3,3,social drinker,city,never smoked,college/bachelor degree,female,block of flats,few hours a day,right handed,sometimes,i am often early,0
4,1,1,3,3,3,19,0,2,5,3,1,5,2,4,5,3,2,1,2,5,5,5,5,2,3,2,5,2,1,3,2,5,4,4,5,3,1,1,3,2,4,4,2,5,4,1,5,2,3,3,3,3,3,2,3,4,5,4,4,5,3,3,170,1,3,4,2,4,1,5,4,4,1,2,3,2,2,1,1,5,1,4,2,3,4,2,3,2,2,0,4,4,3,5,3,0,5,3,3,1,1,5,1,1,5,5,2,2,5,3,3,2,2,3,2,3,2,5,3,3,5,1,1,3,3,2,3,2,1,3,5,2,5,3,5,55,3,5,3,5,social drinker,village,never smoked,college/bachelor degree,female,house/bungalow,less than an hour a day,left handed,everytime it suits me,i am often early,0
3,0,3,4,3,3,17,2,2,3,2,2,2,1,1,2,1,1,3,2,5,1,3,5,4,3,2,4,4,2,1,3,2,2,4,4,4,2,3,2,4,4,1,2,3,5,2,4,2,1,3,5,4,3,2,1,2,3,3,2,3,3,3,166,2,1,4,5,1,4,5,4,4,3,1,2,3,4,3,3,1,5,3,5,5,3,1,2,2,1,0,4,3,2,3,3,1,1,2,1,2,3,5,4,4,2,5,1,4,2,4,4,3,4,3,4,4,2,3,3,4,3,1,3,3,1,3,1,1,1,1,3,5,4,3,5,54,5,4,1,3,social drinker,city,never smoked,primary school,female,block of flats,few hours a day,right handed,sometimes,i am often early,0
3,0,3,2,5,4,16,3,3,4,4,1,2,5,4,4,2,1,3,1,4,4,3,4,4,3,2,2,2,3,2,1,2,2,5,4,3,1,3,3,4,3,2,2,4,3,1,4,3,2,2,3,3,4,4,4,3,3,4,2,1,5,4,158,2,2,3,3,4,4,5,4,4,4,2,1,4,4,3,5,4,5,4,4,4,2,1,4,3,1,0,3,4,4,4,3,2,3,2,2,3,3,4,3,4,2,5,3,3,1,4,4,3,4,3,3,4,3,4,4,4,1,3,2,3,3,5,2,2,2,2,5,5,2,3,3,48,2,3,1,3,social drinker,city,never smoked,primary school,female,block of flats,few hours a day,left handed,sometimes,i am always on time,0
5,1,5,1,2,1,29,3,4,5,0,5,5,1,5,1,1,3,1,2,5,1,5,4,4,3,2,3,3,3,2,4,5,2,3,4,4,1,1,5,1,4,1,4,5,1,1,1,3,3,5,1,5,4,5,4,2,5,5,1,5,5,3,160,2,1,3,1,1,5,4,5,1,5,3,1,5,2,2,1,1,1,2,4,5,5,5,4,5,2,0,4,5,2,4,3,2,1,1,5,1,4,1,1,5,3,3,3,4,1,3,2,3,5,1,1,4,2,1,3,3,3,4,1,3,1,1,2,4,1,5,5,2,5,3,1,67,1,5,1,2,social drinker,village,former smoker,masters degree,female,house/bungalow,less than an hour a day,right handed,everytime it suits me,i am often early,0
3,0,3,2,4,2,18,4,2,5,4,2,5,3,4,3,1,5,5,3,5,1,5,3,5,5,2,3,5,3,4,4,1,2,2,4,3,4,4,1,4,2,3,1,5,3,3,5,3,2,1,5,3,5,3,1,2,5,5,4,2,3,3,158,1,5,3,3,1,4,5,4,3,4,3,2,4,5,4,1,1,1,5,5,5,3,1,3,4,2,0,1,3,2,4,3,5,1,2,5,2,3,4,3,2,1,3,2,2,1,3,4,3,4,1,3,4,4,4,1,3,1,4,5,5,5,5,1,1,4,2,3,3,4,2,2,65,1,2,5,1,social drinker,city,current smoker,secondary school,female,block of flats,few hours a day,right handed,sometimes,i am often running late,0
3,0,3,4,4,1,26,3,5,4,4,3,3,3,4,4,1,1,3,2,2,1,4,5,5,4,3,4,1,3,1,1,1,2,3,5,3,1,1,4,3,3,3,2,3,3,3,3,3,3,4,2,4,5,4,4,2,3,3,4,3,4,3,169,2,1,3,3,2,3,3,3,4,2,1,1,1,3,2,1,2,5,3,5,5,3,3,2,3,2,0,3,3,4,2,3,5,3,1,1,3,3,3,4,2,4,4,3,4,3,3,5,5,5,3,4,3,2,2,3,2,2,2,3,3,3,1,1,3,1,3,4,4,3,2,3,70,1,4,4,5,never,city,tried smoking,masters degree,male,house/bungalow,few hours a day,right handed,only to avoid hurting someone,i am often early,0
4,1,3,3,2,4,19,2,5,3,4,3,4,1,5,3,3,1,3,1,5,1,3,3,4,5,1,3,1,3,1,1,3,1,3,2,4,2,4,4,5,4,4,3,3,1,2,3,4,2,2,4,3,4,3,1,3,2,5,3,3,3,3,183,2,2,2,3,1,5,4,4,5,5,1,3,3,3,4,1,1,2,2,5,5,2,5,3,5,1,0,1,4,5,4,3,1,1,2,2,3,3,2,4,2,4,4,3,4,1,3,4,5,2,4,4,5,2,3,4,4,3,3,4,3,4,3,1,1,1,2,3,5,3,3,4,78,2,4,3,2,drink a lot,city,current smoker,secondary school,male,house/bungalow,few hours a day,right handed,only to avoid hurting someone,i am often early,0
5,1,3,4,4,3,19,3,3,2,4,2,3,3,4,4,4,4,4,2,5,1,3,3,5,4,2,3,3,3,2,2,5,3,3,3,3,1,3,3,4,3,3,2,3,3,1,2,2,1,2,4,2,4,4,3,5,4,4,4,2,3,2,185,4,5,3,5,3,3,5,4,5,5,2,3,3,3,1,1,3,1,4,4,5,2,2,3,4,1,1,2,3,4,5,4,1,1,2,2,2,3,3,1,2,1,2,3,2,2,3,3,3,4,5,3,4,4,4,3,2,5,3,4,4,4,5,2,3,1,3,4,5,3,2,3,70,2,2,3,1,never,city,current smoker,secondary school,male,house/bungalow,few hours a day,right handed,only to avoid hurting someone,i am always on time,0
4,1,3,3,5,4,20,2,3,5,4,2,4,3,5,4,3,2,2,2,5,1,4,2,5,4,2,5,3,4,2,3,4,3,2,4,3,2,3,1,5,4,4,1,5,3,3,4,5,2,2,5,4,5,3,1,4,3,4,3,1,4,3,169,2,4,4,1,1,5,5,4,4,4,3,2,5,2,2,1,4,3,4,5,5,3,1,3,5,0,1,3,3,5,3,4,1,1,2,4,4,4,4,3,3,4,4,4,4,1,1,4,3,5,3,4,3,3,4,3,3,5,4,4,5,4,4,2,3,3,3,3,2,4,3,3,64,3,3,1,2,social drinker,city,tried smoking,secondary school,female,block of flats,few hours a day,right handed,sometimes,i am often early,0
3,0,4,1,1,1,22,2,1,2,5,1,3,1,3,3,3,2,4,1,5,1,5,1,5,5,3,5,4,2,3,5,4,4,5,1,3,1,4,5,5,4,1,1,3,4,1,3,1,1,2,3,4,5,3,1,4,4,5,3,3,5,3,160,2,3,2,4,4,4,4,4,4,5,3,1,4,3,4,1,1,1,4,5,5,4,1,3,3,0,1,1,4,5,2,3,4,1,1,2,2,1,4,1,3,4,1,2,2,1,4,2,1,5,1,1,4,4,3,3,3,4,5,1,4,4,4,4,2,1,4,3,4,3,3,3,47,1,3,1,2,social drinker,city,tried smoking,college/bachelor degree,female,,few hours a day,right handed,sometimes,i am always on time,0
4,1,2,3,4,3,20,3,2,5,4,1,5,1,3,4,4,1,2,1,5,1,4,2,3,2,2,4,5,3,3,1,5,5,1,3,3,3,1,5,4,5,5,2,5,4,1,1,1,1,4,3,5,5,5,1,1,5,1,1,1,1,3,186,5,5,4,5,1,4,3,4,4,3,2,1,1,1,5,1,1,3,5,3,5,2,3,4,5,1,0,2,2,2,4,4,4,1,2,3,1,3,1,5,2,5,2,4,4,1,3,5,5,2,3,3,1,2,1,3,5,5,4,1,2,2,5,5,2,2,1,1,3,2,3,5,88,2,3,1,1,drink a lot,village,current smoker,secondary school,male,house/bungalow,few hours a day,right handed,sometimes,i am always on time,0
4,1,3,4,5,5,21,3,1,3,3,3,3,2,2,5,4,1,3,1,5,1,3,1,5,3,1,4,2,3,4,4,3,2,2,4,3,3,0,2,3,3,5,4,3,3,1,1,3,3,1,3,2,5,3,1,3,2,4,3,1,3,3,186,2,4,2,1,2,4,3,4,4,2,2,1,3,3,3,1,1,1,3,4,5,1,2,4,3,1,0,1,2,3,3,4,3,2,1,2,2,2,3,1,2,3,4,2,3,1,2,3,1,2,4,3,2,3,3,4,3,4,3,2,4,3,2,1,1,4,1,3,4,3,4,3,89,2,2,1,4,social drinker,village,former smoker,secondary school,male,house/bungalow,less than an hour a day,right handed,only to avoid hurting someone,i am often early,0
2,0,2,3,2,2,21,1,2,4,2,2,1,1,3,3,3,1,5,2,2,1,3,4,5,3,2,1,5,2,3,1,3,2,5,5,3,2,3,5,5,1,2,4,4,4,5,4,2,3,1,4,1,2,2,1,4,3,5,1,2,2,2,169,3,5,3,4,1,1,5,4,4,2,2,2,3,5,2,1,2,4,2,5,4,3,1,2,1,2,0,1,2,5,5,3,5,3,3,4,2,2,4,3,3,1,3,4,3,1,5,4,4,5,4,5,5,2,3,3,1,2,1,3,1,2,1,1,3,2,2,4,4,3,2,5,55,4,3,1,2,social drinker,city,tried smoking,secondary school,male,block of flats,most of the day,right handed,sometimes,i am often early,1
4,1,3,5,4,1,18,3,5,0,3,1,4,1,4,3,1,4,2,3,5,1,3,3,5,5,3,5,5,4,2,1,5,3,0,5,3,3,5,1,5,4,3,1,5,1,3,2,4,4,4,5,5,5,1,1,5,5,3,5,3,5,3,168,3,5,4,3,5,3,5,5,3,4,3,5,5,3,2,1,1,0,5,5,5,3,5,2,5,0,1,1,4,4,2,3,5,1,1,5,2,5,3,3,4,1,5,5,3,1,3,5,5,5,5,4,3,5,5,3,2,5,3,2,3,4,1,3,1,2,5,5,3,4,3,4,56,2,3,5,5,social drinker,village,tried smoking,secondary school,,house/bungalow,few hours a day,right handed,only to avoid hurting someone,i am always on time,0
4,1,2,5,4,3,15,2,1,4,5,1,4,5,5,5,4,3,1,4,5,4,3,1,5,5,1,2,5,3,5,5,3,2,4,2,4,2,3,1,4,4,2,1,4,1,3,3,2,1,1,5,5,5,3,1,3,3,4,4,1,3,2,181,2,5,2,5,3,3,4,4,4,3,1,1,1,3,5,1,3,1,4,5,5,1,2,5,4,0,1,1,2,0,4,4,4,1,2,3,3,2,2,1,3,3,1,3,3,1,4,2,1,2,4,5,4,4,3,3,4,4,3,2,2,4,4,1,1,4,1,5,3,4,2,5,63,3,2,1,1,never,city,never smoked,primary school,male,block of flats,few hours a day,right handed,sometimes,i am often early,0
4,1,3,4,3,4,19,4,2,5,3,3,2,5,5,2,4,1,3,2,5,5,5,3,5,1,2,3,3,2,4,5,4,1,3,2,3,4,3,1,5,4,3,2,5,5,2,3,2,1,2,4,2,5,3,3,1,2,3,3,4,2,3,163,4,3,2,3,1,3,5,4,4,3,4,3,5,3,3,3,5,3,3,5,5,1,1,3,3,1,0,3,3,4,4,3,3,2,1,4,3,2,5,3,2,2,3,3,4,2,3,5,2,5,1,3,3,4,4,3,3,2,3,3,2,4,2,1,2,3,2,2,3,3,2,3,50,2,2,1,4,social drinker,city,current smoker,college/bachelor degree,female,block of flats,few hours a day,right handed,sometimes,i am always on time,0
4,1,3,3,1,1,24,2,4,5,3,1,3,1,5,1,1,1,1,1,3,2,2,3,4,4,2,3,1,2,3,1,3,1,5,4,3,5,3,3,1,2,2,1,4,4,1,3,3,2,3,2,2,4,2,1,2,4,5,1,1,3,3,169,1,2,1,1,3,2,5,4,4,2,3,1,3,3,3,4,1,4,4,5,5,3,3,2,3,1,0,2,3,1,4,3,3,3,1,2,2,2,5,4,2,1,5,5,4,1,4,5,5,2,4,5,5,1,1,3,2,3,2,2,2,2,4,1,4,1,4,5,2,1,4,1,51,2,2,1,5,drink a lot,city,never smoked,college/bachelor degree,female,house/bungalow,few hours a day,right handed,never,i am often early,0
4,1,3,1,4,1,19,1,3,4,2,4,2,4,5,3,1,1,2,4,3,4,4,5,4,4,3,4,1,2,2,4,3,4,4,5,3,1,1,4,5,2,3,1,5,4,5,5,4,3,4,5,5,5,1,4,3,2,4,1,4,3,4,160,5,1,5,1,4,5,2,4,5,1,4,1,4,3,3,1,5,3,3,5,5,5,3,2,3,1,1,5,4,1,2,3,2,2,1,4,2,4,5,1,5,1,5,1,5,4,1,4,5,4,4,3,5,1,2,1,2,1,2,1,4,1,1,2,4,1,5,4,1,3,2,3,53,2,3,5,5,social drinker,city,never smoked,secondary school,female,block of flats,few hours a day,right handed,sometimes,i am always on time,0
3,0,2,5,3,3,25,2,3,2,3,5,5,2,5,1,4,1,3,4,2,4,2,5,4,5,2,4,5,5,5,1,2,1,3,4,3,3,2,5,5,5,1,2,2,1,5,4,3,3,2,5,5,4,3,1,3,3,3,1,3,3,3,184,2,1,5,5,3,3,4,4,5,3,1,5,2,3,4,4,3,4,3,5,5,5,3,3,4,3,0,5,2,3,4,3,3,4,5,3,5,3,1,3,3,3,5,2,5,3,3,4,4,1,4,4,3,1,1,3,3,3,4,2,3,3,3,2,4,1,5,3,4,4,3,4,85,4,3,3,3,drink a lot,village,tried smoking,college/bachelor degree,male,house/bungalow,few hours a day,left handed,only to avoid hurting someone,i am always on time,1
3,0,3,4,5,2,20,1,2,5,4,2,2,3,5,1,4,3,5,3,2,2,5,4,5,5,3,4,3,5,2,2,2,3,2,5,3,2,2,1,5,4,2,2,5,3,3,4,4,2,3,4,3,4,3,2,5,4,1,5,1,4,3,170,2,2,5,5,1,4,4,2,3,4,4,5,5,4,1,1,3,1,3,5,5,5,1,3,2,1,0,4,4,5,2,3,5,1,4,3,5,2,2,4,2,3,5,2,4,2,4,3,4,5,4,5,5,3,3,3,1,3,2,1,5,3,5,3,3,1,3,3,5,3,2,5,62,1,4,2,5,social drinker,city,tried smoking,college/bachelor degree,female,house/bungalow,few hours a day,right handed,sometimes,i am often early,0
4,1,3,3,5,5,19,4,3,3,5,5,2,3,4,2,3,4,2,1,5,2,3,3,4,5,1,4,1,3,3,2,1,5,3,4,4,1,1,5,5,3,3,2,5,2,2,1,4,1,2,4,5,5,5,1,3,3,4,3,3,3,3,170,2,4,3,3,5,4,2,5,4,4,3,1,3,3,1,1,2,1,3,3,5,2,3,3,5,2,0,2,3,3,1,4,5,1,3,4,1,3,3,5,4,4,3,5,4,1,3,4,5,2,3,3,4,5,5,3,3,4,4,1,3,4,5,5,5,1,2,3,4,3,2,5,60,1,3,2,4,social drinker,village,current smoker,secondary school,female,house/bungalow,less than an hour a day,right handed,sometimes,i am always on time,1
2,0,2,4,5,4,21,1,2,4,3,3,4,2,5,3,3,1,3,2,2,2,4,4,5,4,3,4,1,5,4,1,4,1,4,4,4,2,3,5,5,3,4,1,3,5,2,5,4,4,3,3,5,5,2,1,5,2,2,4,2,4,3,0,4,5,4,1,1,2,4,4,5,3,4,4,4,4,1,4,2,4,2,5,5,3,1,2,1,1,0,2,2,5,5,4,3,3,4,2,3,4,5,3,4,2,4,4,4,4,5,5,4,3,4,3,4,1,1,2,2,4,2,4,5,2,5,3,5,2,4,4,4,4,3,5,0,3,4,1,1,social drinker,village,never smoked,secondary school,male,house/bungalow,few hours a day,right handed,only to avoid hurting someone,i am often early,0
3,0,4,5,5,4,23,5,3,5,3,5,4,5,4,5,4,5,4,4,3,4,5,5,5,5,5,5,4,4,5,4,4,5,5,5,4,5,4,4,4,5,4,4,5,5,3,3,4,4,5,5,4,5,5,5,4,5,5,4,5,5,4,184,5,4,5,5,5,4,4,4,5,3,4,5,4,3,4,4,4,4,5,5,5,1,2,4,4,2,0,1,5,2,5,5,5,5,5,4,3,4,5,3,3,5,5,4,3,4,3,5,5,5,4,5,5,5,4,4,4,4,4,4,4,5,5,4,4,5,4,4,5,3,3,5,82,5,0,3,4,social drinker,village,tried smoking,secondary school,male,house/bungalow,few hours a day,right handed,only to avoid hurting someone,i am always on time,0
4,1,4,5,5,3,21,5,2,1,5,1,5,1,2,4,3,5,5,1,3,1,3,2,5,1,2,3,5,5,5,5,5,2,3,3,1,1,4,5,5,4,5,1,5,1,5,2,3,1,1,5,5,5,5,1,2,5,4,2,4,3,5,176,5,5,1,2,3,4,5,5,5,5,5,1,3,3,3,1,1,1,3,5,5,5,1,4,5,1,0,1,4,3,5,4,4,1,2,5,3,3,2,1,1,5,3,4,5,1,4,5,5,5,1,3,5,5,5,4,2,5,4,3,2,4,5,2,4,4,4,3,5,1,2,3,55,2,3,1,5,social drinker,village,tried smoking,secondary school,female,house/bungalow,few hours a day,right handed,never,i am often running late,1
3,0,4,5,1,2,20,1,5,5,5,5,5,3,5,3,3,1,3,3,1,3,3,5,5,2,3,5,1,2,1,2,3,1,3,5,3,1,4,5,1,2,4,2,5,3,1,3,3,1,3,4,5,5,5,4,4,1,4,1,3,1,4,170,2,3,5,5,1,5,5,5,5,4,1,4,1,2,5,5,3,2,2,5,5,1,5,5,5,1,0,5,3,5,5,4,1,5,4,2,3,3,3,3,3,2,5,2,5,1,1,4,5,3,4,5,5,4,3,3,2,4,5,3,4,4,4,1,4,2,5,5,5,1,5,5,62,3,3,5,2,drink a lot,city,tried smoking,secondary school,male,block of flats,most of the day,right handed,sometimes,i am always on time,0
4,1,2,5,3,4,20,1,4,5,4,3,5,5,5,4,5,4,2,2,1,5,3,3,5,5,3,5,1,3,4,2,5,1,4,4,3,3,4,5,5,3,3,2,5,3,5,5,3,2,2,5,5,5,3,3,4,2,1,1,5,3,3,168,2,4,3,1,1,2,5,5,5,4,3,4,1,4,3,3,5,2,3,5,5,4,1,2,3,1,0,2,4,3,4,3,4,4,3,5,4,3,5,5,3,1,5,2,5,3,3,5,2,4,5,3,5,4,4,4,2,4,2,5,4,4,3,2,2,5,4,5,3,3,4,3,69,2,5,1,5,social drinker,village,never smoked,secondary school,female,house/bungalow,few hours a day,right handed,sometimes,i am often early,0
3,0,3,4,3,2,18,3,4,4,3,4,3,5,4,3,4,4,2,3,4,5,5,3,5,4,2,2,2,4,2,1,3,2,3,5,3,2,2,1,3,3,2,2,4,3,3,3,4,3,2,5,4,4,4,2,5,4,4,2,5,3,3,173,3,2,4,1,2,3,4,5,3,3,3,4,5,4,2,3,5,4,3,5,4,3,1,3,3,3,0,2,3,2,3,3,3,3,3,3,4,3,4,3,4,3,4,2,3,2,3,5,5,2,5,3,4,4,3,3,3,4,2,3,4,4,5,2,5,1,4,4,3,3,3,2,55,3,2,2,3,social drinker,city,tried smoking,primary school,female,block of flats,less than an hour a day,right handed,sometimes,i am often early,1
